id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
68;1LV_all;small;CGGM;1;0.088625464;0.099688816;8.27E-05;3.781464495;1;0.324596774;0.490106545;0.324596774;0
69;1LV_all;small;CGGM;1;0.088492794;0.204957366;0.079701812;0.797501809;1;0.296370968;0.457231726;0.296370968;0
70;1LV_all;small;CGGM;1;0.066073619;0.033135273;0.000275962;3.258120721;1;0.358870968;0.528189911;0.358870968;0
71;1LV_all;small;CGGM;1;0.086158517;0.354619922;8.19E-05;3.785686103;1;0.247983871;0.397415186;0.247983871;0
72;1LV_all;small;CGGM;1;0.076862956;0.164517603;1.74E-06;5.458420756;1;0.389112903;0.560232221;0.389112903;0
73;1LV_all;small;CGGM;1;0.065163755;1.14E-05;9.67E-05;4.642065153;1;0.399193548;0.570605187;0.399193548;0
74;1LV_all;small;CGGM;1;0.078749933;0.000624578;0.05379844;2.903383322;1;0.322580645;0.487804878;0.322580645;0
75;1LV_all;small;CGGM;1;0.101470076;5.84E-06;4.44E-05;4.932557157;1;0.258064516;0.41025641;0.258064516;0
76;1LV_all;small;CGGM;1;0.067423604;0.303550745;7.92E-06;4.800244823;1;0.372983871;0.543318649;0.372983871;0
77;1LV_all;small;CGGM;1;0.074933165;0.002713065;9.54E-08;6.71942163;1;0.475806452;0.644808743;0.475806452;0
78;1LV_all;small;CGGM;1;0.070793556;0.000118097;1.58E-08;7.500312917;1;0.409274194;0.580829757;0.409274194;0
79;1LV_all;small;CGGM;1;0.08686252;0.001183214;1.18E-05;4.627087997;1;0.302419355;0.464396285;0.302419355;0
80;1LV_all;small;CGGM;1;0.075934253;2.18E-05;0.132481216;4.360513511;1;0.304435484;0.466769706;0.304435484;0
81;1LV_all;small;CGGM;1;0.065152385;0.66795578;0.006215675;1.905481706;1;0.431451613;0.602816901;0.431451613;0
82;1LV_all;small;CGGM;1;0.05688257;0.092491399;0.000329281;3.181403332;1;0.489919355;0.657645467;0.489919355;0
83;1LV_all;small;CGGM;1;0.08803434;2.42E-06;6.58E-11;9.880744111;1;0.3125;0.476190476;0.3125;0
84;1LV_all;small;CGGM;1;0.071883308;0.006533691;1.59E-05;4.49757288;1;0.346774194;0.51497006;0.346774194;0
85;1LV_all;small;CGGM;1;0.059955067;0.003006883;0.042081045;2.220853475;1;0.504032258;0.670241287;0.504032258;0
86;1LV_all;small;CGGM;1;0.06013877;0.000323718;0.000342738;3.188803156;1;0.516129032;0.680851064;0.516129032;0
87;1LV_all;small;CGGM;1;0.080800998;0.000502427;0.257805324;2.997897034;1;0.431451613;0.602816901;0.431451613;0
88;1LV_all;small;CGGM;1;0.079013006;0.000192743;6.51E-05;3.885389016;1;0.409274194;0.580829757;0.409274194;0
89;1LV_all;small;CGGM;1;0.09362167;0.002199854;0.006663126;2.356576146;1;0.296370968;0.457231726;0.296370968;0
90;1LV_all;small;CGGM;1;0.093896076;5.91E-07;7.66E-05;5.927382523;1;0.254032258;0.405144695;0.254032258;0
91;1LV_all;small;CGGM;1;0.071634619;0.002693614;0.001557415;2.506565651;1;0.33266129;0.49924357;0.33266129;0
92;1LV_all;small;CGGM;1;0.087089311;8.81E-09;0.00514695;7.753994096;1;0.252016129;0.40257649;0.252016129;0
93;1LV_all;small;CGGM;1;0.07369774;0.001718985;0.000740503;2.829443182;1;0.421370968;0.592907801;0.421370968;0
94;1LV_all;small;CGGM;1;0.072074173;0.000146567;0.015285466;3.532933806;1;0.358870968;0.528189911;0.358870968;0
95;1LV_all;small;CGGM;1;0.086809327;1.68E-06;1.05E-05;5.473660723;1;0.302419355;0.464396285;0.302419355;0
96;1LV_all;small;CGGM;1;0.072077528;0.274384608;3.37E-06;5.171340103;1;0.350806452;0.519402985;0.350806452;0
97;1LV_all;small;CGGM;1;0.10345396;0.089332355;0.018539146;1.43088028;1;0.288306452;0.447574335;0.288306452;0
98;1LV_all;small;CGGM;1;0.099964296;0.003025872;1.19E-06;5.623423043;1;0.181451613;0.307167235;0.181451613;0
99;1LV_all;small;CGGM;1;0.06804489;0.002166808;0.004475134;2.363149574;1;0.381048387;0.551824818;0.381048387;0
100;1LV_all;small;CGGM;1;0.09507203;5.17E-06;0.002867476;4.985479461;1;0.300403226;0.462015504;0.300403226;0
101;1LV_all;small;glasso;1;0.068191896;3.07E-05;5.45E-06;4.962573502;1;0.360887097;0.53037037;0.360887097;0
102;1LV_all;small;glasso;1;0.081203853;0.198339525;8.45E-05;3.772113295;1;0.262096774;0.415335463;0.262096774;0
103;1LV_all;small;glasso;1;0.087888024;0.051370059;3.26E-07;6.185752404;1;0.3125;0.476190476;0.3125;0
104;1LV_all;small;glasso;1;0.080541903;0.020738132;0.098566287;1.38220037;1;0.356854839;0.526002972;0.356854839;0
105;1LV_all;small;glasso;1;0.07775082;0.000148694;0.032512864;3.52667656;1;0.328629032;0.494688923;0.328629032;0
106;1LV_all;small;glasso;1;0.086531864;1.14E-06;0.000241231;5.642065153;1;0.318548387;0.483180428;0.318548387;0
107;1LV_all;small;glasso;1;0.076911836;0.00050754;1.66E-06;5.478861916;1;0.25;0.4;0.25;0
108;1LV_all;small;glasso;1;0.074165166;9.46E-08;0.179100769;6.723078868;1;0.375;0.545454545;0.375;0
109;1LV_all;small;glasso;1;0.088877182;0.273335106;3.78E-07;6.121478204;1;0.276209677;0.4328594;0.276209677;0
110;1LV_all;small;glasso;1;0.060393042;1.62E-05;0.000832674;4.48945499;1;0.352822581;0.521609538;0.352822581;0
111;1LV_all;small;glasso;1;0.07148529;0.00866525;5.59E-08;6.951558196;1;0.280241935;0.437795276;0.280241935;0
112;1LV_all;small;glasso;1;0.08553184;3.26E-09;2.46E-06;8.185752404;1;0.282258065;0.440251572;0.282258065;0
113;1LV_all;small;glasso;1;0.082677321;2.95E-07;0.000195757;6.229147988;1;0.299395161;0.460822343;0.299395161;0
114;1LV_all;small;glasso;1;0.080369159;0.001753953;6.12E-06;4.912218582;1;0.296370968;0.457231726;0.296370968;0
115;1LV_all;small;glasso;1;0.080454995;0.387930238;2.22E-08;7.35261703;1;0.322580645;0.487804878;0.322580645;0
116;1LV_all;small;glasso;1;0.073016405;0.021918227;5.94E-12;10.92518356;1;0.296370968;0.457231726;0.296370968;0
117;1LV_all;small;glasso;1;0.069978815;0.000334743;1.18E-05;4.627087997;1;0.304435484;0.466769706;0.304435484;0
118;1LV_all;small;glasso;1;0.07588374;1.55E-07;0.055456628;6.508638306;1;0.316532258;0.48085758;0.316532258;0
119;1LV_all;small;glasso;1;0.071262639;7.92E-06;1.54E-06;5.511449283;1;0.352822581;0.521609538;0.352822581;0
120;1LV_all;small;glasso;1;0.06638325;1.69E-07;1.02E-07;6.690369833;1;0.278225806;0.43533123;0.278225806;0
121;1LV_all;small;glasso;1;0.08053458;0.017345213;9.92E-05;3.702458332;1;0.348790323;0.517189836;0.348790323;0
122;1LV_all;small;glasso;1;0.064292276;6.64E-08;5.55E-06;6.876801925;1;0.308467742;0.471494607;0.308467742;0
123;1LV_all;small;glasso;1;0.07274764;0.726575658;1.83E-12;11.43651891;1;0.338709677;0.506024096;0.338709677;0
124;1LV_all;small;glasso;1;0.085344661;1.41E-05;0.166207926;4.549750892;1;0.256048387;0.407704655;0.256048387;0
125;1LV_all;small;glasso;1;0.075527677;0.037076502;6.89E-05;3.860750782;1;0.338709677;0.506024096;0.338709677;0
126;1LV_all;small;glasso;1;0.077297915;0.07788846;0.000684462;2.863620662;1;0.316532258;0.48085758;0.316532258;0
127;1LV_all;small;glasso;1;0.07186896;0.027887018;1.17E-14;13.63078414;1;0.358870968;0.528189911;0.358870968;0
128;1LV_all;small;glasso;1;0.079553317;1.34E-05;0.780834771;4.571865206;1;0.33266129;0.49924357;0.33266129;0
129;1LV_all;small;glasso;1;0.075136465;0.037431234;0.000103991;3.68197425;1;0.350806452;0.519402985;0.350806452;0
130;1LV_all;small;glasso;1;0.067901286;0.000436722;0.088568305;3.058764934;1;0.356854839;0.526002972;0.356854839;0
131;1LV_all;small;glasso;1;0.077383173;0.018811117;1.15E-05;4.638272164;1;0.286290323;0.445141066;0.286290323;0
132;1LV_all;small;glasso;1;0.077136507;0.533887665;0.204660507;0.387935959;1;0.316532258;0.48085758;0.316532258;0
133;1LV_all;small;glasso;1;0.076479619;0.0027003;6.72E-05;3.871600731;1;0.344758065;0.512743628;0.344758065;0
134;1LV_all;small;glasso;1;0.078204543;0.033491864;9.30E-06;4.730487056;1;0.385080645;0.556040757;0.385080645;0
135;1LV_all;small;glasso;1;0.087682613;0.000189016;4.78E-06;5.019542108;1;0.254032258;0.405144695;0.254032258;0
136;1LV_all;small;glasso;1;0.075586882;0.007947151;2.37E-08;7.324221658;1;0.326612903;0.492401216;0.326612903;0
137;1LV_all;small;glasso;1;0.067560313;0.000274141;1.91E-05;4.417936637;1;0.397177419;0.568542569;0.397177419;0
138;1LV_all;small;glasso;1;0.074746573;0.004434786;0.044380505;2.052097336;1;0.3125;0.476190476;0.3125;0
139;1LV_all;small;glasso;1;0.072638699;1.98E-08;4.31E-07;7.402304814;1;0.364919355;0.534711965;0.364919355;0
140;1LV_all;small;glasso;1;0.073598837;0.000417394;0.120681574;3.078423803;1;0.366935484;0.536873156;0.366935484;0
141;1LV_all;small;glasso;1;0.070014532;0.001601144;5.73E-05;3.940815382;1;0.344758065;0.512743628;0.344758065;0
142;1LV_all;small;glasso;1;0.076919966;8.46E-07;0.003269844;5.771599641;1;0.290322581;0.45;0.290322581;0
143;1LV_all;small;glasso;1;0.076485068;0.077854825;8.54E-05;3.767512134;1;0.33266129;0.49924357;0.33266129;0
144;1LV_all;small;glasso;1;0.079951596;0.008222656;8.18E-06;4.786216701;1;0.350806452;0.519402985;0.350806452;0
145;1LV_all;small;glasso;1;0.074467784;9.19E-06;2.49E-06;5.302770657;1;0.372983871;0.543318649;0.372983871;0
146;1LV_all;small;glasso;1;0.065882059;0.044896317;0.387955947;1.046759289;1;0.364919355;0.534711965;0.364919355;0
147;1LV_all;small;glasso;1;0.072395361;0.916259545;7.45E-11;9.826813732;1;0.358870968;0.528189911;0.358870968;0
148;1LV_all;small;glasso;1;0.075727417;7.93E-07;0.005200281;5.799696817;1;0.308467742;0.471494607;0.308467742;0
149;1LV_all;small;glasso;1;0.073568227;0.000700321;1.10E-06;5.657577319;1;0.274193548;0.430379747;0.274193548;0
150;1LV_all;small;glasso;1;0.067699723;0.022712888;0.318402065;1.342697645;1;0.360887097;0.53037037;0.360887097;0
151;1LV_all;small;glasso;1;0.078406473;0.380787806;0.000282491;3.247965388;1;0.348790323;0.517189836;0.348790323;0
152;1LV_all;small;glasso;1;0.078118169;0.09145539;0.006811913;1.865700912;1;0.342741935;0.510510511;0.342741935;0
153;1LV_all;small;glasso;1;0.08205788;0.043810737;1.98E-11;10.40230481;1;0.326612903;0.492401216;0.326612903;0
154;1LV_all;small;glasso;1;0.081305723;0.002971179;0.001211587;2.6156154;1;0.272177419;0.427892235;0.272177419;0
155;1LV_all;small;glasso;1;0.090701001;1.23E-06;0.720591864;5.609064893;1;0.308467742;0.471494607;0.308467742;0
156;1LV_all;small;glasso;1;0.068680893;2.23E-05;1.43E-06;5.543633967;1;0.334677419;0.501510574;0.334677419;0
157;1LV_all;small;glasso;1;0.079815803;0.000742046;4.63E-11;10.03338901;1;0.294354839;0.45482866;0.294354839;0
