id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
92;HDLVS_sporadic;small;CGGM;4;0.102949619;1.31E-05;0.000463438;4.582089021;0.794117647;0.72972973;0.76056338;0.72972973;0.014736842
93;HDLVS_sporadic;small;CGGM;4;0.101893343;6.60E-05;2.84E-07;6.246384151;0.8;0.631578947;0.705882353;0.631578947;0.012658228
94;HDLVS_sporadic;small;CGGM;4;0.108471949;0.013657624;0.102155296;1.563594837;0.774193548;0.631578947;0.695652174;0.631578947;0.014767932
95;HDLVS_sporadic;small;CGGM;4;0.103034074;0.000252107;0.031005835;3.297385715;0.777777778;0.583333333;0.666666667;0.583333333;0.012605042
96;HDLVS_sporadic;small;CGGM;4;0.092474989;0.060485844;0.00242788;2.313742831;0.821428571;0.657142857;0.73015873;0.657142857;0.01048218
97;HDLVS_sporadic;small;CGGM;4;0.09838371;0.184384026;0.134082282;0.571598611;0.735294118;0.641025641;0.684931507;0.641025641;0.019027484
98;HDLVS_sporadic;small;CGGM;4;0.112451657;9.88E-07;0.002331799;5.704158144;0.846153846;0.578947368;0.6875;0.578947368;0.008438819
99;HDLVS_sporadic;small;CGGM;4;0.099106894;0.003719173;0.061781321;2.128523591;0.833333333;0.526315789;0.64516129;0.526315789;0.008438819
100;HDLVS_sporadic;small;CGGM;4;0.099728613;0.102404731;0.00661569;1.878394883;0.821428571;0.657142857;0.73015873;0.657142857;0.01048218
101;HDLVS_sporadic;small;gLASSO;9;0.074494862;0.001122549;5.82E-06;4.93404702;0.142857143;0.575757576;0.228915663;0.575757576;0.237995825
102;HDLVS_sporadic;small;gLASSO;8;0.075756275;0.636000394;0.038589891;1.112496452;0.151724138;0.578947368;0.240437158;0.578947368;0.259493671
103;HDLVS_sporadic;small;gLASSO;8;0.071388645;0.040482211;0.017099051;1.465997997;0.178571429;0.526315789;0.266666667;0.526315789;0.194092827
104;HDLVS_sporadic;small;gLASSO;10;0.086597942;0.107180983;0.711185255;0.668852269;0.162962963;0.594594595;0.255813953;0.594594595;0.237894737
105;HDLVS_sporadic;small;gLASSO;9;0.084731428;0.001676079;0.034790681;2.47467552;0.180451128;0.631578947;0.280701754;0.631578947;0.229957806
106;HDLVS_sporadic;small;gLASSO;9;0.086845947;4.40E-06;0.009318703;5.055517328;0.157894737;0.666666667;0.255319149;0.666666667;0.268907563
107;HDLVS_sporadic;small;gLASSO;10;0.079606125;0.005993473;0.003494064;2.155639149;0.190839695;0.694444444;0.299401198;0.694444444;0.222689076
108;HDLVS_sporadic;small;gLASSO;11;0.087612118;1.77E-05;0.035130188;4.450996738;0.173553719;0.567567568;0.265822785;0.567567568;0.210526316
109;HDLVS_sporadic;small;gLASSO;9;0.087464928;0.253605964;0.000260656;3.282902278;0.182608696;0.552631579;0.274509804;0.552631579;0.198312236
110;HDLVS_sporadic;small;gLASSO;10;0.088254675;0.000107246;0.160496987;3.668588901;0.171641791;0.621621622;0.269005848;0.621621622;0.233684211
111;HDLVS_sporadic;small;gLASSO;10;0.08112555;0.157348447;0.000399747;3.097184791;0.194690265;0.594594595;0.293333333;0.594594595;0.191578947
112;HDLVS_sporadic;small;gLASSO;10;0.078263685;4.93E-05;0.002651734;4.006123085;0.20661157;0.675675676;0.316455696;0.675675676;0.202105263
113;HDLVS_sporadic;small;gLASSO;9;0.083734935;0.003062766;0.017723592;2.212856187;0.186567164;0.714285714;0.295857988;0.714285714;0.22851153
114;HDLVS_sporadic;small;gLASSO;7;0.074411812;0.002576871;0.014809346;2.287877326;0.140939597;0.567567568;0.225806452;0.567567568;0.269473684
115;HDLVS_sporadic;small;gLASSO;10;0.081390598;0.878441816;1.58E-06;5.500312917;0.170068027;0.694444444;0.273224044;0.694444444;0.256302521
116;HDLVS_sporadic;small;gLASSO;11;0.101679111;0.378259414;2.74E-07;6.261219442;0.185714286;0.666666667;0.290502793;0.666666667;0.241014799
117;HDLVS_sporadic;small;gLASSO;11;0.095772835;0.000183659;0.030040042;3.434957789;0.16;0.648648649;0.256684492;0.648648649;0.265263158
118;HDLVS_sporadic;small;gLASSO;9;0.09204356;0.004023261;0.023205922;2.094391797;0.215517241;0.657894737;0.324675325;0.657894737;0.191983122
119;HDLVS_sporadic;small;gLASSO;10;0.093169389;0.000374606;0.001150774;3.125395275;0.173913043;0.717948718;0.28;0.717948718;0.281183932
120;HDLVS_sporadic;small;gLASSO;9;0.095624648;0.000144999;0.041246203;3.537604997;0.203125;0.742857143;0.319018405;0.742857143;0.213836478
121;HDLVS_sporadic;small;gLASSO;11;0.086519907;0.066780379;5.44E-05;3.963371105;0.129496403;0.486486486;0.204545455;0.486486486;0.254736842
122;HDLVS_sporadic;small;gLASSO;9;0.085900796;0.00049348;0.000187772;3.425339172;0.161764706;0.628571429;0.257309942;0.628571429;0.238993711
123;HDLVS_sporadic;small;gLASSO;10;0.086509884;0.952337526;5.76E-06;4.938547521;0.163120567;0.621621622;0.258426966;0.621621622;0.248421053
124;HDLVS_sporadic;small;gLASSO;9;0.083292381;0.003337306;0.84334001;2.175573975;0.193548387;0.631578947;0.296296296;0.631578947;0.210970464
125;HDLVS_sporadic;small;gLASSO;10;0.085699124;0.003229093;0.007934844;2.189889451;0.245762712;0.743589744;0.369426752;0.743589744;0.188160677
126;HDLVS_sporadic;small;gLASSO;11;0.080073962;0.483819291;0.019587578;1.406989265;0.222222222;0.769230769;0.344827586;0.769230769;0.221987315
127;HDLVS_sporadic;small;gLASSO;10;0.086146195;0.103125534;2.46E-05;4.308034897;0.169014085;0.666666667;0.269662921;0.666666667;0.24789916
128;HDLVS_sporadic;small;gLASSO;12;0.092271298;0.001269591;0.979817129;2.595306169;0.185483871;0.638888889;0.2875;0.638888889;0.212184874
129;HDLVS_sporadic;small;gLASSO;9;0.092966399;0.055973137;0.009724526;1.711101563;0.164179104;0.55;0.252873563;0.55;0.237288136
130;HDLVS_sporadic;small;gLASSO;10;0.068672685;0.000622989;0.518690312;2.904489626;0.140495868;0.472222222;0.21656051;0.472222222;0.218487395
131;HDLVS_sporadic;small;gLASSO;10;0.092742702;0.018330621;0.001582754;2.499556585;0.197183099;0.736842105;0.311111111;0.736842105;0.240506329
132;HDLVS_sporadic;small;gLASSO;8;0.076942652;0.66570286;0.4036175;0.093000016;0.145038168;0.527777778;0.22754491;0.527777778;0.235294118
133;HDLVS_sporadic;small;gLASSO;10;0.075961452;0.234023717;0.003462072;2.159633909;0.1640625;0.552631579;0.253012048;0.552631579;0.225738397
134;HDLVS_sporadic;small;gLASSO;11;0.093870541;0.268312936;6.67E-07;5.87484417;0.130769231;0.485714286;0.206060606;0.485714286;0.236897275
135;HDLVS_sporadic;small;gLASSO;9;0.083794724;0.163424308;5.27E-09;7.977159389;0.157894737;0.685714286;0.256684492;0.685714286;0.268343816
136;HDLVS_sporadic;small;gLASSO;11;0.091891957;0.020335011;0.001689678;2.471166055;0.167938931;0.647058824;0.266666667;0.647058824;0.228033473
137;HDLVS_sporadic;small;gLASSO;9;0.082972216;2.12E-05;0.00164653;4.372634143;0.165467626;0.605263158;0.259887006;0.605263158;0.244725738
138;HDLVS_sporadic;small;gLASSO;8;0.104397956;0.027185743;0.097021174;1.264628797;0.233009709;0.631578947;0.340425532;0.631578947;0.166666667
139;HDLVS_sporadic;small;gLASSO;10;0.082839087;1.46E-06;1.69E-05;5.534617149;0.20979021;0.789473684;0.331491713;0.789473684;0.238396624
140;HDLVS_sporadic;small;gLASSO;10;0.086956346;0.001938611;3.72E-05;4.128427064;0.2;0.722222222;0.313253012;0.722222222;0.218487395
141;HDLVS_sporadic;small;gLASSO;8;0.077472205;0.049170038;3.01E-06;5.220403509;0.175675676;0.702702703;0.281081081;0.702702703;0.256842105
