id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
98;1LV_all;small;CGGM;1;0.080957119;3.22E-14;6.44E-15;13.89008414;1;0.620967742;0.766169154;0.620967742;0
99;1LV_all;small;CGGM;1;0.104771515;1.43E-13;2.74E-13;12.54363397;1;0.550403226;0.710013004;0.550403226;0
100;1LV_all;small;CGGM;1;0.073471186;2.85E-13;5.33E-14;12.9722428;1;0.647177419;0.785801714;0.647177419;0
101;1LV_all;small;gLASSO;1;0.080034753;2.94E-06;2.26E-10;9.344861565;1;0.397177419;0.568542569;0.397177419;0
102;1LV_all;small;gLASSO;1;0.093446546;0.010444112;6.21E-08;6.905878404;1;0.342741935;0.510510511;0.342741935;0
103;1LV_all;small;gLASSO;1;0.092681504;0.00340227;1.87E-10;9.427128398;1;0.39516129;0.566473988;0.39516129;0
104;1LV_all;small;gLASSO;1;0.092549296;0.000664843;5.86E-11;9.931072388;1;0.421370968;0.592907801;0.421370968;0
105;1LV_all;small;gLASSO;1;0.083022126;3.33E-16;6.35E-12;15.17652577;1;0.411290323;0.582857143;0.411290323;0
106;1LV_all;small;gLASSO;1;0.086063364;1.92E-11;8.19E-13;11.7856861;1;0.399193548;0.570605187;0.399193548;0
107;1LV_all;small;gLASSO;1;0.08215327;6.20E-08;3.48E-10;9.15739076;1;0.366935484;0.536873156;0.366935484;0
108;1LV_all;small;gLASSO;1;0.089412971;7.96E-11;1.11E-16;15.65364703;1;0.443548387;0.61452514;0.443548387;0
109;1LV_all;small;gLASSO;1;0.099115595;8.41E-10;2.45E-08;8.774174009;1;0.35483871;0.523809524;0.35483871;0
110;1LV_all;small;gLASSO;1;0.075680276;2.31E-08;1.13E-08;7.645891561;1;0.381048387;0.551824818;0.381048387;0
111;1LV_all;small;gLASSO;1;0.084098564;3.49E-12;7.62E-13;11.81701503;1;0.360887097;0.53037037;0.360887097;0
112;1LV_all;small;gLASSO;1;0.093187047;3.33E-16;9.98E-14;15.17652577;1;0.358870968;0.528189911;0.358870968;0
113;1LV_all;small;gLASSO;1;0.092764299;0.638722249;1.01E-08;7.694648631;1;0.364919355;0.534711965;0.364919355;0
114;1LV_all;small;gLASSO;1;0.091203373;5.37E-10;6.76E-12;10.86902331;1;0.366935484;0.536873156;0.366935484;0
115;1LV_all;small;gLASSO;1;0.090463307;1.03E-14;2.41E-14;13.68613278;1;0.427419355;0.598870056;0.427419355;0
116;1LV_all;small;gLASSO;1;0.079614213;3.33E-16;1.11E-16;15.65364703;1;0.389112903;0.560232221;0.389112903;0
117;1LV_all;small;gLASSO;1;0.079554433;4.22E-09;6.88E-15;13.86138157;1;0.389112903;0.560232221;0.389112903;0
118;1LV_all;small;gLASSO;1;0.082378246;0.18582566;1.57E-08;7.503070352;1;0.375;0.545454545;0.375;0
119;1LV_all;small;gLASSO;1;0.077929809;0.000581483;9.54E-05;3.71942163;1;0.453629032;0.624133148;0.453629032;0
120;1LV_all;small;gLASSO;1;0.077578853;0.223986344;1.80E-14;13.4436975;1;0.387096774;0.558139535;0.387096774;0
121;1LV_all;small;gLASSO;1;0.083066975;2.09E-07;7.23E-14;12.83983171;1;0.411290323;0.582857143;0.411290323;0
122;1LV_all;small;gLASSO;1;0.078381456;3.83E-07;8.54E-07;6.11577123;1;0.383064516;0.55393586;0.383064516;0
123;1LV_all;small;gLASSO;1;0.083265449;4.66E-09;2.84E-14;13.24565166;1;0.383064516;0.55393586;0.383064516;0
124;1LV_all;small;gLASSO;1;0.089289117;1.16E-05;7.77E-16;14.80854899;1;0.336693548;0.503770739;0.336693548;0
125;1LV_all;small;gLASSO;1;0.087677194;1.25E-06;1.07E-07;6.669586227;1;0.39516129;0.566473988;0.39516129;0
126;1LV_all;small;gLASSO;1;0.093057577;0.000441647;0.000357047;3.146244616;1;0.441532258;0.612587413;0.441532258;0
127;1LV_all;small;gLASSO;1;0.08552765;8.19E-08;2.60E-10;9.283996656;1;0.41733871;0.588904694;0.41733871;0
128;1LV_all;small;gLASSO;1;0.092100453;7.85E-11;0.061542094;9.804100348;1;0.397177419;0.568542569;0.397177419;0
129;1LV_all;small;gLASSO;1;0.091584374;5.42E-12;1.07E-14;13.66958623;1;0.435483871;0.606741573;0.435483871;0
130;1LV_all;small;gLASSO;1;0.0778655;0.000373937;0.45064695;3.126171565;1;0.425403226;0.59688826;0.425403226;0
131;1LV_all;small;gLASSO;1;0.085318727;0.554812299;0.036758397;1.13361344;1;0.346774194;0.51497006;0.346774194;0
132;1LV_all;small;gLASSO;1;0.090050682;5.93E-06;0.147062167;4.925915311;1;0.409274194;0.580829757;0.409274194;0
133;1LV_all;small;gLASSO;1;0.087922809;4.94E-05;4.48E-05;4.04769199;1;0.377016129;0.547584187;0.377016129;0
134;1LV_all;small;gLASSO;1;0.087823772;4.34E-06;1.44E-10;9.540607512;1;0.4375;0.608695652;0.4375;0
135;1LV_all;small;gLASSO;1;0.097074241;1.01E-11;1.20E-09;10.69464863;1;0.393145161;0.564399421;0.393145161;0
136;1LV_all;small;gLASSO;1;0.083556112;1.53E-14;2.06E-11;13.51427857;1;0.39516129;0.566473988;0.39516129;0
137;1LV_all;small;gLASSO;1;0.077986201;1.07E-14;2.10E-08;13.66958623;1;0.455645161;0.626038781;0.455645161;0
138;1LV_all;small;gLASSO;1;0.083978442;2.19E-09;0.001306154;8.358525889;1;0.381048387;0.551824818;0.381048387;0
139;1LV_all;small;gLASSO;1;0.080998422;5.72E-08;1.11E-15;14.65364703;1;0.415322581;0.586894587;0.415322581;0
140;1LV_all;small;gLASSO;1;0.078331766;0.002344786;3.77E-15;14.12262865;1;0.4375;0.608695652;0.4375;0
141;1LV_all;small;gLASSO;1;0.087257722;4.53E-07;3.42E-09;8.164943898;1;0.387096774;0.558139535;0.387096774;0
142;1LV_all;small;gLASSO;1;0.086528025;0.00441797;2.10E-07;6.37675071;1;0.381048387;0.551824818;0.381048387;0
143;1LV_all;small;gLASSO;1;0.086726975;4.52E-07;3.12E-09;8.20481541;1;0.413306452;0.584878745;0.413306452;0
144;1LV_all;small;gLASSO;1;0.094245818;5.04E-11;3.39E-14;13.16877031;1;0.394153226;0.565437455;0.394153226;0
145;1LV_all;small;gLASSO;1;0.085459287;6.97E-08;1.07E-08;7.669586227;1;0.433467742;0.604781997;0.433467742;0
146;1LV_all;small;gLASSO;1;0.088868481;3.79E-05;5.22E-06;4.981299501;1;0.415322581;0.586894587;0.415322581;0
147;1LV_all;small;gLASSO;1;0.077420025;4.40E-08;3.14E-11;10.20204036;1;0.421370968;0.592907801;0.421370968;0
148;1LV_all;small;gLASSO;1;0.081970966;2.86E-10;0.033757067;9.242603971;1;0.387096774;0.558139535;0.387096774;0
149;1LV_all;small;gLASSO;1;0.083620787;6.61E-12;7.75E-12;10.87876854;1;0.375;0.545454545;0.375;0
150;1LV_all;small;gLASSO;1;0.083056492;0.014792706;0.001567542;2.503750818;1;0.429435484;0.600846262;0.429435484;0
151;1LV_all;small;gLASSO;1;0.082185807;5.29E-06;1.77E-13;12.45099674;1;0.451612903;0.622222222;0.451612903;0
152;1LV_all;small;gLASSO;1;0.088146746;5.55E-16;1.89E-05;14.95467702;1;0.39516129;0.566473988;0.39516129;0
153;1LV_all;small;gLASSO;1;0.089267547;2.96E-05;0.067139119;4.227678293;1;0.409274194;0.580829757;0.409274194;0
154;1LV_all;small;gLASSO;1;0.086407308;3.67E-10;0.000227565;9.13430394;1;0.370967742;0.541176471;0.370967742;0
155;1LV_all;small;gLASSO;1;0.100469087;1.11E-07;1.81E-09;8.441291429;1;0.375;0.545454545;0.375;0
156;1LV_all;small;gLASSO;1;0.077669703;1.38E-14;1.29E-08;13.55909092;1;0.419354839;0.590909091;0.419354839;0
157;1LV_all;small;gLASSO;1;0.088111172;2.28E-11;1.10E-08;10.34103516;1;0.364919355;0.534711965;0.364919355;0
158;1LV_all;small;gLASSO;1;0.086007123;7.41E-07;6.97E-08;6.855737226;1;0.421370968;0.592907801;0.421370968;0
159;1LV_all;small;gLASSO;1;0.088806569;2.91E-07;2.25E-05;6.235077015;1;0.375;0.545454545;0.375;0
160;1LV_all;small;gLASSO;1;0.083211896;1.48E-13;9.28E-11;12.52870829;1;0.389112903;0.560232221;0.389112903;0
161;1LV_all;small;gLASSO;1;0.083045698;0.258956587;3.33E-15;14.17652577;1;0.394153226;0.565437455;0.394153226;0
